Calibrating	
165.11	165.07
184	1230.57
221.8	221.88
270.95	271.04
384.35	384.34
384.36	384.52
384.38	384.54
384.4	384.51
384.41	384.26
384.39	384.36
384.39	384.26
384.38	384.33
384.37	384.43
384.38	384.37
384.38	384.46
384.38	384.42
384.39	384.42
384.39	384.45
384.4	384.48
384.4	384.31
384.4	384.49
384.41	384.5
384.41	384.44
384.41	384.37
384.41	384.44
384.42	384.42
384.41	384.37
384.41	384.35
384.42	384.58
384.43	384.5
384.43	384.32
384.44	384.43
384.43	384.38
384.44	384.37
384.45	384.51
384.44	384.27
384.43	384.48
384.43	384.42
384.42	384.34
384.42	384.27
384.43	384.49
384.43	384.37
384.41	384.33
384.41	384.51
384.42	384.7
384.42	384.52
384.43	384.41
384.43	384.37
384.44	384.47
384.43	384.35
384.43	384.24
384.44	384.37
384.44	384.45
384.45	384.53
384.45	384.47
384.46	384.5
384.47	384.46
384.48	384.48
384.48	384.46
384.48	384.35
384.46	384.4
384.47	384.56
384.47	384.34
384.47	384.52
384.47	384.3
384.46	384.38
380.68	380.7
358	358.12
278.63	-2266.24
233.28	233.25
233.28	233.22
165.23	165.14
165.21	165.01
165.2	165.13
165.2	165.23
165.21	165.22
165.22	165.31
165.22	165.14
165.22	165.33
165.22	165.39
165.22	165.2
165.22	165.25
165.21	165.15
165.22	165.22
165.23	165.25
165.23	165.21
165.23	165.42
165.24	165.42
165.24	165.3
165.25	165.35
165.26	165.23
169.04	378.99
165.26	165.12
165.27	165.28
165.28	165.49
161.51	161.6
165.3	165.51
165.3	165.18
161.52	161.53
165.3	165.27
165.29	165.12
165.28	165.12
165.28	165.43
165.28	165.37
165.28	165.13
165.28	165.26
165.28	165.2
165.27	165.3
165.28	165.32
165.29	165.32
165.28	165.27
165.28	165.17
165.27	165.14
165.27	165.19
165.27	165.11
165.26	165.19
165.27	165.44
165.26	165.23
165.28	165.39
184.17	184.04
327.82	328.02
384.52	384.4
384.51	384.68
384.53	384.73
384.54	384.44
384.52	384.49
384.52	384.21
384.52	384.56
384.52	384.67
384.53	384.46
384.52	384.41
384.52	384.53
384.52	384.38
384.52	384.57
384.51	384.39
384.5	384.52
384.49	384.45
384.5	384.39
384.5	384.39
384.49	384.44
384.49	384.4
384.49	384.58
384.49	384.48
384.5	384.63
384.5	384.51
384.51	384.58
384.51	384.62
384.51	384.47
384.51	384.57
384.51	384.64
373.18	373.18
342.94	342.98
342.95	343.08
297.6	-1178.19
271.14	271.05
248.46	248.52
199.32	199.36
180.42	180.39
165.29	165.19
165.27	165.09
165.27	165.27
165.27	165.39
169.07	169.24
180.41	180.35
252.23	252.22
293.81	293.66
384.53	2685.12
384.54	384.77
384.55	384.62
384.57	384.77
384.58	384.37
380.79	170.2
